epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,856.314,0.51211,0.35091,0.85309,0.97294,0.99722,0.99376,0.90553,0.48536,0.37486,0.8396,0.00406,0.00406,0.00406
122,864.417,0.4943,0.35612,0.86532,0.9688,0.99535,0.9944,0.90208,0.49201,0.36577,0.84299,0.0040105,0.0040105,0.0040105
123,871.331,0.48161,0.34256,0.8526,0.96904,0.99139,0.99479,0.89431,0.51229,0.3648,0.85191,0.003961,0.003961,0.003961
124,878.012,0.49533,0.35508,0.85244,0.96442,0.99306,0.99489,0.905,0.49547,0.35583,0.85132,0.0039115,0.0039115,0.0039115
125,885.339,0.50413,0.34498,0.83843,0.96082,0.99722,0.99489,0.91026,0.49297,0.35593,0.8519,0.003862,0.003862,0.003862
126,892.608,0.48624,0.34094,0.85132,0.96043,0.99634,0.99489,0.89804,0.50409,0.35829,0.8486,0.0038125,0.0038125,0.0038125
127,899.78,0.50836,0.34863,0.86381,0.96665,0.99634,0.9947,0.89934,0.5006,0.35229,0.84637,0.003763,0.003763,0.003763
128,907.463,0.51149,0.35079,0.8608,0.97581,0.99463,0.99479,0.90381,0.48747,0.34708,0.84176,0.0037135,0.0037135,0.0037135
129,915.799,0.49287,0.34037,0.86084,0.97965,0.99239,0.9947,0.90643,0.47995,0.34424,0.84261,0.003664,0.003664,0.003664
130,923.199,0.49779,0.34695,0.84032,0.97834,0.99338,0.99489,0.89873,0.4918,0.34992,0.84639,0.0036145,0.0036145,0.0036145
131,930.661,0.49754,0.3502,0.84931,0.97772,0.99409,0.99489,0.90121,0.48421,0.34965,0.84836,0.003565,0.003565,0.003565
132,937.726,0.47179,0.33638,0.84438,0.97774,0.99722,0.99462,0.90898,0.47893,0.35651,0.85079,0.0035155,0.0035155,0.0035155
133,942.402,0.487,0.33733,0.84663,0.97992,0.99722,0.99454,0.90744,0.481,0.36329,0.85201,0.003466,0.003466,0.003466
